go_id	go_term_name
GO:0006664	glycolipid metabolic process
GO:0004722	protein serine/threonine phosphatase activity
GO:0006302	double-strand break repair
GO:0030870	Mre11 complex
GO:0007095	mitotic G2 DNA damage checkpoint signaling
GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
GO:0050992	dimethylallyl diphosphate biosynthetic process
GO:0051745	4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity
GO:0010256	endomembrane system organization
GO:0090148	membrane fission
GO:0090158	endoplasmic reticulum membrane organization
GO:0090693	plant organ senescence
GO:0009523	photosystem II
GO:0010498	proteasomal protein catabolic process
GO:0004550	nucleoside diphosphate kinase activity
GO:0006183	GTP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006241	CTP biosynthetic process
GO:0003713	transcription coactivator activity
GO:0031490	chromatin DNA binding
GO:0009751	response to salicylic acid
GO:0010193	response to ozone
GO:0015937	coenzyme A biosynthetic process
GO:0006637	acyl-CoA metabolic process
GO:0006094	gluconeogenesis
GO:0009725	response to hormone
GO:0019787	ubiquitin-like protein transferase activity
GO:0008318	protein prenyltransferase activity
GO:0004659	prenyltransferase activity
GO:0003333	amino acid transmembrane transport
GO:0015171	amino acid transmembrane transporter activity
GO:0009086	methionine biosynthetic process
GO:1904294	positive regulation of ERAD pathway
GO:0070008	serine-type exopeptidase activity
GO:0015935	small ribosomal subunit
GO:0034440	lipid oxidation
GO:0000049	tRNA binding
GO:0004825	methionine-tRNA ligase activity
GO:0006431	methionyl-tRNA aminoacylation
GO:0010215	cellulose microfibril organization
GO:0016651	oxidoreductase activity, acting on NAD(P)H
GO:0004560	alpha-L-fucosidase activity
GO:0015928	fucosidase activity
GO:0009698	phenylpropanoid metabolic process
GO:0032559	adenyl ribonucleotide binding
GO:0004175	endopeptidase activity
GO:0004813	alanine-tRNA ligase activity
GO:0006419	alanyl-tRNA aminoacylation
GO:0046373	L-arabinose metabolic process
GO:0046556	alpha-L-arabinofuranosidase activity
GO:0022904	respiratory electron transport chain
GO:0008121	ubiquinol-cytochrome-c reductase activity
GO:0022900	electron transport chain
GO:0015995	chlorophyll biosynthetic process
GO:0016851	magnesium chelatase activity
GO:0004392	heme oxygenase (decyclizing) activity
GO:0006788	heme oxidation
GO:0043248	proteasome assembly
GO:0000212	meiotic spindle organization
GO:0019898	extrinsic component of membrane
GO:0030880	RNA polymerase complex
GO:0031022	nuclear migration along microfilament
GO:0016592	mediator complex
GO:0006606	protein import into nucleus
GO:0061608	nuclear import signal receptor activity
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0006102	isocitrate metabolic process
GO:0003994	aconitate hydratase activity
GO:0006101	citrate metabolic process
GO:0031176	endo-1,4-beta-xylanase activity
GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
GO:0004108	citrate (Si)-synthase activity
GO:0046912	acyltransferase activity, acyl groups converted into alkyl on transfer
GO:0015288	porin activity
GO:0046930	pore complex
GO:0009298	GDP-mannose biosynthetic process
GO:0004615	phosphomannomutase activity
GO:0006012	galactose metabolic process
GO:0030014	CCR4-NOT complex
GO:0006402	mRNA catabolic process
GO:0009651	response to salt stress
GO:0045926	negative regulation of growth
GO:0004829	threonine-tRNA ligase activity
GO:0006435	threonyl-tRNA aminoacylation
GO:0015144	carbohydrate transmembrane transporter activity
GO:0030015	CCR4-NOT core complex
GO:0005839	proteasome core complex
GO:0051603	proteolysis involved in protein catabolic process
GO:0000502	proteasome complex
GO:0019773	proteasome core complex, alpha-subunit complex
GO:0005832	chaperonin-containing T-complex
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0050661	NADP binding
GO:0103075	indole-3-pyruvate monooxygenase activity
GO:0000725	recombinational repair
GO:0034061	DNA polymerase activity
GO:0051575	5'-deoxyribose-5-phosphate lyase activity
GO:0097510	base-excision repair, AP site formation via deaminated base removal
GO:0016763	pentosyltransferase activity
GO:0042752	regulation of circadian rhythm
GO:0051560	mitochondrial calcium ion homeostasis
GO:0004047	aminomethyltransferase activity
GO:0006546	glycine catabolic process
GO:0005960	glycine cleavage complex
GO:0022626	cytosolic ribosome
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0043231	intracellular membrane-bounded organelle
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0015711	organic anion transport
GO:0015748	organophosphate ester transport
GO:0030983	mismatched DNA binding
GO:0006298	mismatch repair
GO:0032300	mismatch repair complex
GO:1990052	ER to chloroplast lipid transport
GO:0034196	acylglycerol transport
GO:0048280	vesicle fusion with Golgi apparatus
GO:0004348	glucosylceramidase activity
GO:0006680	glucosylceramide catabolic process
GO:0032147	activation of protein kinase activity
GO:0060236	regulation of mitotic spindle organization
GO:0031012	extracellular matrix
GO:0003968	RNA-dependent RNA polymerase activity
GO:0001172	RNA-templated transcription
GO:0006071	glycerol metabolic process
GO:0033926	endo-alpha-N-acetylgalactosaminidase activity
GO:0015969	guanosine tetraphosphate metabolic process
GO:0004017	adenylate kinase activity
GO:0019205	nucleobase-containing compound kinase activity
GO:0016776	phosphotransferase activity, phosphate group as acceptor
GO:0046940	nucleoside monophosphate phosphorylation
GO:0006163	purine nucleotide metabolic process
GO:0035097	histone methyltransferase complex
GO:0051377	mannose-ethanolamine phosphotransferase activity
GO:0009658	chloroplast organization
GO:1901259	chloroplast rRNA processing
GO:0004820	glycine-tRNA ligase activity
GO:0006426	glycyl-tRNA aminoacylation
GO:0009850	auxin metabolic process
GO:0008080	N-acetyltransferase activity
GO:0006850	mitochondrial pyruvate transmembrane transport
GO:0032957	inositol trisphosphate metabolic process
GO:0047325	inositol-3,4,5,6-tetrakisphosphate 1-kinase activity
GO:0052725	inositol-1,3,4-trisphosphate 6-kinase activity
GO:0052726	inositol-1,3,4-trisphosphate 5-kinase activity
GO:0010264	myo-inositol hexakisphosphate biosynthetic process
GO:0005102	signaling receptor binding
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0015095	magnesium ion transmembrane transporter activity
GO:1903830	magnesium ion transmembrane transport
GO:0046274	lignin catabolic process
GO:0052716	hydroquinone:oxygen oxidoreductase activity
GO:0005992	trehalose biosynthetic process
GO:0004805	trehalose-phosphatase activity
GO:0005905	clathrin-coated pit
GO:0008418	protein-N-terminal asparagine amidohydrolase activity
GO:0070773	protein-N-terminal glutamine amidohydrolase activity
GO:0016459	myosin complex
GO:0006605	protein targeting
GO:0003756	protein disulfide isomerase activity
GO:0010274	hydrotropism
GO:0043138	3'-5' DNA helicase activity
GO:0006623	protein targeting to vacuole
GO:0046854	phosphatidylinositol phosphate biosynthetic process
GO:0048768	root hair cell tip growth
GO:0051740	ethylene binding
GO:0010105	negative regulation of ethylene-activated signaling pathway
GO:0010262	somatic embryogenesis
GO:0040008	regulation of growth
GO:0045089	positive regulation of innate immune response
GO:1900150	regulation of defense response to fungus
GO:0009522	photosystem I
GO:0009245	lipid A biosynthetic process
GO:0004181	metallocarboxypeptidase activity
GO:0016846	carbon-sulfur lyase activity
GO:0015098	molybdate ion transmembrane transporter activity
GO:0015689	molybdate ion transport
GO:0030533	triplet codon-amino acid adaptor activity
GO:0016556	mRNA modification
GO:0004714	transmembrane receptor protein tyrosine kinase activity
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0050793	regulation of developmental process
GO:0005092	GDP-dissociation inhibitor activity
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0007264	small GTPase-mediated signal transduction
GO:0005504	fatty acid binding
GO:0004587	ornithine aminotransferase activity
GO:0019888	protein phosphatase regulator activity
GO:0045927	positive regulation of growth
GO:0043953	protein transport by the Tat complex
GO:0004743	pyruvate kinase activity
GO:0030955	potassium ion binding
GO:0032787	monocarboxylic acid metabolic process
GO:0004084	branched-chain-amino-acid transaminase activity
GO:0009081	branched-chain amino acid metabolic process
GO:0006308	DNA catabolic process
GO:0051321	meiotic cell cycle
GO:0000727	double-strand break repair via break-induced replication
GO:0048476	Holliday junction resolvase complex
GO:0004516	nicotinate phosphoribosyltransferase activity
GO:0047280	nicotinamide phosphoribosyltransferase activity
GO:0009615	response to virus
GO:0071569	protein ufmylation
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding
GO:0070860	RNA polymerase I core factor complex
GO:0006360	transcription by RNA polymerase I
GO:0001188	RNA polymerase I preinitiation complex assembly
GO:0016783	sulfurtransferase activity
GO:0009107	lipoate biosynthetic process
GO:0009249	protein lipoylation
GO:0009820	alkaloid metabolic process
GO:0001558	regulation of cell growth
GO:0035556	intracellular signal transduction
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0004629	phospholipase C activity
GO:0006821	chloride transport
GO:1902476	chloride transmembrane transport
GO:0015108	chloride transmembrane transporter activity
GO:0034707	chloride channel complex
GO:0006744	ubiquinone biosynthetic process
GO:0044877	protein-containing complex binding
GO:0015749	monosaccharide transmembrane transport
GO:0015145	monosaccharide transmembrane transporter activity
GO:0004197	cysteine-type endopeptidase activity
GO:0042802	identical protein binding
GO:0044375	regulation of peroxisome size
GO:0015165	pyrimidine nucleotide-sugar transmembrane transporter activity
GO:0090481	pyrimidine nucleotide-sugar transmembrane transport
GO:0006367	transcription initiation at RNA polymerase II promoter
GO:0032968	positive regulation of transcription elongation by RNA polymerase II
GO:0004623	phospholipase A2 activity
GO:0050482	arachidonate secretion
GO:0034045	phagophore assembly site membrane
GO:0016926	protein desumoylation
GO:0004576	oligosaccharyl transferase activity
GO:0000723	telomere maintenance
GO:0003964	RNA-directed DNA polymerase activity
GO:0003720	telomerase activity
GO:0009409	response to cold
GO:0009414	response to water deprivation
GO:0048508	embryonic meristem development
GO:0032509	endosome transport via multivesicular body sorting pathway
GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0051225	spindle assembly
GO:0031023	microtubule organizing center organization
GO:0003995	acyl-CoA dehydrogenase activity
GO:0044183	protein folding chaperone
GO:0071705	nitrogen compound transport
GO:0004819	glutamine-tRNA ligase activity
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0003958	NADPH-hemoprotein reductase activity
GO:0031145	anaphase-promoting complex-dependent catabolic process
GO:0005643	nuclear pore
GO:0006261	DNA-templated DNA replication
GO:0006006	glucose metabolic process
GO:0032991	protein-containing complex
GO:0045292	mRNA cis splicing, via spliceosome
GO:0032549	ribonucleoside binding
GO:0048564	photosystem I assembly
GO:0080183	response to photooxidative stress
GO:0010089	xylem development
GO:0048766	root hair initiation
GO:0010026	trichome differentiation
GO:0010090	trichome morphogenesis
GO:0009739	response to gibberellin
GO:1901001	negative regulation of response to salt stress
GO:0000027	ribosomal large subunit assembly
GO:0008373	sialyltransferase activity
GO:0005388	P-type calcium transporter activity
GO:0070588	calcium ion transmembrane transport
GO:0033014	tetrapyrrole biosynthetic process
GO:0032366	intracellular sterol transport
GO:0006665	sphingolipid metabolic process
GO:0016125	sterol metabolic process
GO:0097036	regulation of plasma membrane sterol distribution
GO:0006421	asparaginyl-tRNA aminoacylation
GO:0004816	asparagine-tRNA ligase activity
GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity
GO:0030532	small nuclear ribonucleoprotein complex
GO:0004427	inorganic diphosphate phosphatase activity
GO:0006796	phosphate-containing compound metabolic process
GO:0050821	protein stabilization
GO:0003712	transcription coregulator activity
GO:0010556	regulation of macromolecule biosynthetic process
GO:0035091	phosphatidylinositol binding
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0140101	catalytic activity, acting on a tRNA
GO:0004358	glutamate N-acetyltransferase activity
GO:0006526	L-arginine biosynthetic process
GO:0004042	L-glutamate N-acetyltransferase activity
GO:0006801	superoxide metabolic process
GO:0004097	catechol oxidase activity
GO:0046148	pigment biosynthetic process
GO:0007623	circadian rhythm
GO:0000077	DNA damage checkpoint signaling
GO:0005342	organic acid transmembrane transporter activity
GO:1903825	organic acid transmembrane transport
GO:0031347	regulation of defense response
GO:2000022	regulation of jasmonic acid mediated signaling pathway
GO:0000030	mannosyltransferase activity
GO:0032981	mitochondrial respiratory chain complex I assembly
GO:0004866	endopeptidase inhibitor activity
GO:0070628	proteasome binding
GO:0016274	protein-arginine N-methyltransferase activity
GO:0018216	peptidyl-arginine methylation
GO:0004152	dihydroorotate dehydrogenase activity
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
GO:0005682	U5 snRNP
GO:1990641	response to iron ion starvation
GO:0033707	3''-deamino-3''-oxonicotianamine reductase activity
GO:0019290	siderophore biosynthetic process
GO:0001216	DNA-binding transcription activator activity
GO:0004525	ribonuclease III activity
GO:0016891	RNA endonuclease activity, producing 5'-phosphomonoesters
GO:0010267	ta-siRNA processing
GO:0010447	response to acidic pH
GO:0010044	response to aluminum ion
GO:0001653	peptide receptor activity
GO:0010074	maintenance of meristem identity
GO:0010082	regulation of root meristem growth
GO:0034599	cellular response to oxidative stress
GO:0006559	L-phenylalanine catabolic process
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0006570	tyrosine metabolic process
GO:0006572	tyrosine catabolic process
GO:0008180	COP9 signalosome
GO:0004061	arylformamidase activity
GO:0019441	tryptophan catabolic process to kynurenine
GO:0004788	thiamine diphosphokinase activity
GO:0009229	thiamine diphosphate biosynthetic process
GO:0030975	thiamine binding
GO:0006772	thiamine metabolic process
GO:0015020	glucuronosyltransferase activity
GO:0006085	acetyl-CoA biosynthetic process
GO:0010506	regulation of autophagy
GO:0000209	protein polyubiquitination
GO:0002161	aminoacyl-tRNA editing activity
GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
GO:0006399	tRNA metabolic process
GO:0040029	epigenetic regulation of gene expression
GO:0032452	histone demethylase activity
GO:0031593	polyubiquitin modification-dependent protein binding
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0006098	pentose-phosphate shunt
GO:0005759	mitochondrial matrix
GO:0000932	P-body
GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA
GO:0006465	signal peptide processing
GO:0031418	L-ascorbic acid binding
GO:0016760	cellulose synthase (UDP-forming) activity
GO:0030244	cellulose biosynthetic process
GO:0071669	plant-type cell wall organization or biogenesis
GO:0017121	plasma membrane phospholipid scrambling
GO:0061666	UFM1 ligase activity
GO:0009263	deoxyribonucleotide biosynthetic process
GO:0004655	porphobilinogen synthase activity
GO:0010029	regulation of seed germination
GO:0005675	transcription factor TFIIH holo complex
GO:0070985	transcription factor TFIIK complex
GO:0008353	RNA polymerase II CTD heptapeptide repeat kinase activity
GO:0002098	tRNA wobble uridine modification
GO:0033588	elongator holoenzyme complex
GO:0019199	transmembrane receptor protein kinase activity
GO:0004540	RNA nuclease activity
GO:0015018	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
GO:0072344	rescue of stalled ribosome
GO:0042908	xenobiotic transport
GO:0030131	clathrin adaptor complex
GO:0042765	GPI-anchor transamidase complex
GO:0070652	HAUS complex
GO:0005876	spindle microtubule
GO:1905393	plant organ formation
GO:0009744	response to sucrose
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0004478	methionine adenosyltransferase activity
GO:0000036	acyl carrier activity
GO:0047262	polygalacturonate 4-alpha-galacturonosyltransferase activity
GO:0035658	Mon1-Ccz1 complex
GO:0004332	fructose-bisphosphate aldolase activity
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0044281	small molecule metabolic process
GO:0006285	base-excision repair, AP site formation
GO:0006284	base-excision repair
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0019104	DNA N-glycosylase activity
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
GO:0009813	flavonoid biosynthetic process
GO:0016102	diterpenoid biosynthetic process
GO:0000987	cis-regulatory region sequence-specific DNA binding
GO:0004826	phenylalanine-tRNA ligase activity
GO:0006432	phenylalanyl-tRNA aminoacylation
GO:0000439	transcription factor TFIIH core complex
GO:0001181	RNA polymerase I general transcription initiation factor activity
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0051499	D-aminoacyl-tRNA deacylase activity
GO:0051604	protein maturation
GO:0004630	phospholipase D activity
GO:0046470	phosphatidylcholine metabolic process
GO:0005991	trehalose metabolic process
GO:0016782	transferase activity, transferring sulphur-containing groups
GO:0004824	lysine-tRNA ligase activity
GO:0006430	lysyl-tRNA aminoacylation
GO:0006505	GPI anchor metabolic process
GO:0048188	Set1C/COMPASS complex
GO:0004000	adenosine deaminase activity
GO:0030187	melatonin biosynthetic process
GO:0004638	phosphoribosylaminoimidazole carboxylase activity
GO:0006189	'de novo' IMP biosynthetic process
GO:0006164	purine nucleotide biosynthetic process
GO:0004475	mannose-1-phosphate guanylyltransferase (GTP) activity
GO:0003697	single-stranded DNA binding
GO:0003678	DNA helicase activity
GO:0043139	5'-3' DNA helicase activity
GO:0046394	carboxylic acid biosynthetic process
GO:0060261	positive regulation of transcription initiation by RNA polymerase II
GO:0060255	regulation of macromolecule metabolic process
GO:0005769	early endosome
GO:0015693	magnesium ion transport
GO:0047938	glucose-6-phosphate 1-epimerase activity
GO:0048868	pollen tube development
GO:0048236	plant-type sporogenesis
GO:0070192	chromosome organization involved in meiotic cell cycle
GO:0043539	protein serine/threonine kinase activator activity
GO:1990879	CST complex
GO:0038023	signaling receptor activity
GO:1900055	regulation of leaf senescence
GO:2000377	regulation of reactive oxygen species metabolic process
GO:1990841	promoter-specific chromatin binding
GO:0071108	protein K48-linked deubiquitination
GO:1990380	K48-linked deubiquitinase activity
GO:0006303	double-strand break repair via nonhomologous end joining
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
GO:0012511	monolayer-surrounded lipid storage body
GO:0005849	mRNA cleavage factor complex
GO:0031124	mRNA 3'-end processing
GO:0051731	polynucleotide 5'-hydroxyl-kinase activity
GO:0045814	negative regulation of gene expression, epigenetic
GO:0032453	histone H3K4 demethylase activity
GO:0051513	regulation of monopolar cell growth
GO:0004834	tryptophan synthase activity
GO:0007283	spermatogenesis
GO:0030261	chromosome condensation
GO:0035092	sperm DNA condensation
GO:0005953	CAAX-protein geranylgeranyltransferase complex
GO:0004661	protein geranylgeranyltransferase activity
GO:0051538	3 iron, 4 sulfur cluster binding
GO:0045273	respiratory chain complex II (succinate dehydrogenase)
GO:0030126	COPI vesicle coat
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
GO:0030663	COPI-coated vesicle membrane
GO:0015996	chlorophyll catabolic process
GO:0080124	pheophytinase activity
GO:0009664	plant-type cell wall organization
GO:0009828	plant-type cell wall loosening
GO:1901701	cellular response to oxygen-containing compound
GO:0009845	seed germination
GO:0008649	rRNA methyltransferase activity
GO:0031167	rRNA methylation
GO:0005672	transcription factor TFIIA complex
GO:0010038	response to metal ion
GO:1902979	mitotic DNA replication termination
GO:0042651	thylakoid membrane
GO:0055035	plastid thylakoid membrane
GO:0004649	poly(ADP-ribose) glycohydrolase activity
GO:0006282	regulation of DNA repair
GO:0030658	transport vesicle membrane
GO:0051753	mannan synthase activity
GO:0030151	molybdenum ion binding
GO:0030627	pre-mRNA 5'-splice site binding
GO:0000395	mRNA 5'-splice site recognition
GO:0005685	U1 snRNP
GO:0032875	regulation of DNA endoreduplication
GO:0048827	phyllome development
GO:0019346	transsulfuration
GO:0003962	cystathionine gamma-synthase activity
GO:0030896	checkpoint clamp complex
GO:0004797	thymidine kinase activity
GO:0016756	glutathione gamma-glutamylcysteinyltransferase activity
GO:0046938	phytochelatin biosynthetic process
GO:0000257	nitrilase activity
GO:0046856	phosphatidylinositol dephosphorylation
GO:0004445	inositol-polyphosphate 5-phosphatase activity
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0005179	hormone activity
GO:0015914	phospholipid transport
GO:0140326	ATPase-coupled intramembrane lipid transporter activity
GO:0034204	lipid translocation
GO:0015385	sodium:proton antiporter activity
GO:0035725	sodium ion transmembrane transport
GO:0006814	sodium ion transport
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0033907	beta-D-fucosidase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0009501	amyloplast
GO:0042176	regulation of protein catabolic process
GO:0030234	enzyme regulator activity
GO:0008540	proteasome regulatory particle, base subcomplex
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0004828	serine-tRNA ligase activity
GO:0006434	seryl-tRNA aminoacylation
GO:0004407	histone deacetylase activity
GO:0000118	histone deacetylase complex
GO:0042721	TIM22 mitochondrial import inner membrane insertion complex
GO:0045039	protein insertion into mitochondrial inner membrane
GO:0030490	maturation of SSU-rRNA
GO:0005657	replication fork
GO:0051117	ATPase binding
GO:0090333	regulation of stomatal closure
GO:0071277	cellular response to calcium ion
GO:0007142	male meiosis II
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0010078	maintenance of root meristem identity
GO:0031647	regulation of protein stability
GO:0009693	ethylene biosynthetic process
GO:0004148	dihydrolipoyl dehydrogenase activity
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0004642	phosphoribosylformylglycinamidine synthase activity
GO:0006885	regulation of pH
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0008312	7S RNA binding
GO:0048500	signal recognition particle
GO:0030942	endoplasmic reticulum signal peptide binding
GO:0004164	diphthine synthase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0005978	glycogen biosynthetic process
GO:0019252	starch biosynthetic process
GO:0006906	vesicle fusion
GO:0030488	tRNA methylation
GO:0015203	polyamine transmembrane transporter activity
GO:1902047	polyamine transmembrane transport
GO:0016123	xanthophyll biosynthetic process
GO:0006383	transcription by RNA polymerase III
GO:0004126	cytidine deaminase activity
GO:0042938	dipeptide transport
GO:0071916	dipeptide transmembrane transporter activity
GO:0042937	tripeptide transmembrane transporter activity
GO:0052689	carboxylic ester hydrolase activity
GO:0043022	ribosome binding
GO:0004707	MAP kinase activity
GO:0030904	retromer complex
GO:0000045	autophagosome assembly
GO:0005666	RNA polymerase III complex
GO:0000940	outer kinetochore
GO:0048366	leaf development
GO:0010239	chloroplast mRNA processing
GO:0004359	glutaminase activity
GO:0042823	pyridoxal phosphate biosynthetic process
GO:0042819	vitamin B6 biosynthetic process
GO:0010224	response to UV-B
GO:0005375	copper ion transmembrane transporter activity
GO:0035434	copper ion transmembrane transport
GO:0006825	copper ion transport
GO:0012507	ER to Golgi transport vesicle membrane
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
GO:0031349	positive regulation of defense response
GO:0004559	alpha-mannosidase activity
GO:0006013	mannose metabolic process
GO:0000165	MAPK cascade
GO:0004668	protein-arginine deiminase activity
GO:0009446	putrescine biosynthetic process
GO:0047632	agmatine deiminase activity
GO:0019900	kinase binding
GO:0019722	calcium-mediated signaling
GO:0005848	mRNA cleavage stimulating factor complex
GO:0044550	secondary metabolite biosynthetic process
GO:0055029	nuclear DNA-directed RNA polymerase complex
GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway
GO:0016197	endosomal transport
GO:0080001	mucilage extrusion from seed coat
GO:1900426	positive regulation of defense response to bacterium
GO:1903335	regulation of vacuolar transport
GO:0005771	multivesicular body
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0006561	proline biosynthetic process
GO:0006361	transcription initiation at RNA polymerase I promoter
GO:0000122	negative regulation of transcription by RNA polymerase II
GO:0030307	positive regulation of cell growth
GO:0009646	response to absence of light
GO:0009723	response to ethylene
GO:0048527	lateral root development
GO:0090697	post-embryonic plant organ morphogenesis
GO:0140964	intracellular auxin homeostasis
GO:0016462	pyrophosphatase activity
GO:0009636	response to toxic substance
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0034976	response to endoplasmic reticulum stress
GO:0006072	glycerol-3-phosphate metabolic process
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0030091	protein repair
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity
GO:0006044	N-acetylglucosamine metabolic process
GO:1990316	Atg1/ULK1 kinase complex
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
GO:0033013	tetrapyrrole metabolic process
GO:0016872	intramolecular lyase activity
GO:1901137	carbohydrate derivative biosynthetic process
GO:0003910	DNA ligase (ATP) activity
GO:0003909	DNA ligase activity
GO:0006259	DNA metabolic process
GO:0046835	carbohydrate phosphorylation
GO:0035672	oligopeptide transmembrane transport
GO:0045493	xylan catabolic process
GO:0080143	regulation of amino acid export
GO:0003951	NAD+ kinase activity
GO:0006741	NADP biosynthetic process
GO:0019674	NAD metabolic process
GO:0032451	demethylase activity
GO:0035615	clathrin adaptor activity
GO:0030122	AP-2 adaptor complex
GO:0098588	bounding membrane of organelle
GO:0098797	plasma membrane protein complex
GO:0048653	anther development
GO:0007389	pattern specification process
GO:0048829	root cap development
GO:0009415	response to water
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process
GO:0010225	response to UV-C
GO:0010467	gene expression
GO:0016780	phosphotransferase activity, for other substituted phosphate groups
GO:0006400	tRNA modification
GO:0080019	alcohol-forming very long-chain fatty acyl-CoA reductase activity
GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0006739	NADP metabolic process
GO:0010043	response to zinc ion
GO:0007010	cytoskeleton organization
GO:0080092	regulation of pollen tube growth
GO:0004056	argininosuccinate lyase activity
GO:0006862	nucleotide transport
GO:0046208	spermine catabolic process
GO:0052901	spermine oxidase activity
GO:1903602	thermospermine catabolic process
GO:0141052	histone H3 demethylase activity
GO:0070966	nuclear-transcribed mRNA catabolic process, no-go decay
GO:0071025	RNA surveillance
GO:0009113	purine nucleobase biosynthetic process
GO:0004044	amidophosphoribosyltransferase activity
GO:0009834	plant-type secondary cell wall biogenesis
GO:0044205	'de novo' UMP biosynthetic process
GO:0004588	orotate phosphoribosyltransferase activity
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006646	phosphatidylethanolamine biosynthetic process
GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
GO:0005761	mitochondrial ribosome
GO:0008361	regulation of cell size
GO:0009637	response to blue light
GO:0043481	anthocyanin accumulation in tissues in response to UV light
GO:0048443	stamen development
GO:0019646	aerobic electron transport chain
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0030686	90S preribosome
GO:0030688	preribosome, small subunit precursor
GO:0072488	ammonium transmembrane transport
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:1990247	N6-methyladenosine-containing RNA reader activity
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
GO:0019632	shikimate metabolic process
GO:0003855	3-dehydroquinate dehydratase activity
GO:0000123	histone acetyltransferase complex
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0140993	histone modifying activity
GO:0004564	beta-fructofuranosidase activity
GO:0045836	positive regulation of meiotic nuclear division
GO:0004930	G protein-coupled receptor activity
GO:0007034	vacuolar transport
